id_distribuidor,fecha_nacimiento,estado,sucursal,escolaridad,estado_civil,dependientes,tipo_vivienda,sexo,tiempo_vivienda,ingreso_neto,experiencia,tipo_negocio,tiempo_op_negocio,capacidad_pago_semanal
87537,1957-02-06,Veracruz de Ignacio de la Llave,ORIZABA,Sin Estudios,Casada (o),0,Propia,FEMENINO,0 AÑOS 0 MESES ,"$7,000.00",NO,ARTE/ARTESANIAS,10 AÑOS 0 MESES ,
86367,1984-10-19,Veracruz de Ignacio de la Llave,COATZACOALCOS,Secundaria,Unión Libre,2,Familiar,FEMENINO,10 AÑOS 0 MESES ,"$24,600.00",NO,DISTRIBUIDOR CON EXPERIENCIA,5 AÑOS 0 MESES ,
86377,1963-08-21,Tabasco,VILLAHERMOSA,Bachillerato,Casada (o),0,Propia,FEMENINO,0 AÑOS 0 MESES ,"$14,728.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,10 AÑOS 0 MESES ,
86669,1982-06-29,Tabasco,VILLAHERMOSA,Bachillerato,Unión Libre,2,Propia,FEMENINO,0 AÑOS 0 MESES ,"$8,692.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,2 AÑOS 0 MESES ,
86671,1970-07-16,Tabasco,VILLAHERMOSA,Bachillerato,Casada (o),0,Propia,FEMENINO,0 AÑOS 0 MESES ,"$9,376.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,10 AÑOS 0 MESES ,
86672,1962-11-26,Tabasco,VILLAHERMOSA,Bachillerato,Unión Libre,0,Propia,FEMENINO,0 AÑOS 0 MESES ,"$10,560.00",NO,VENTA DE ALIMENTOS,6 AÑOS 0 MESES ,
88148,1978-06-24,Tabasco,VILLAHERMOSA,Bachillerato,Casada (o),3,Propia,FEMENINO,0 AÑOS 0 MESES ,"$9,000.00",NO,FRUTAS/VERDURAS/SEMILLAS/CAMPO/AGROPECUARIAS,3 AÑOS 0 MESES ,
85978,1983-09-26,Tabasco,CARDENAS,Tecnico,Soltera (o),0,Propia,FEMENINO,10 AÑOS 1 MESES ,"$11,200.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,6 AÑOS 1 MESES ,
85979,1970-07-15,Tabasco,CARDENAS,Licenciatura,Soltera (o),0,,FEMENINO,30 AÑOS 1 MESES ,"$8,000.00",NO,PANADERIA,2 AÑOS 1 MESES ,
85982,1951-10-15,Tabasco,CARDENAS,Tecnico,Viuda (o),0,Propia,FEMENINO,50 AÑOS 1 MESES ,"$16,720.00",NO,VENTA DE ROPA,6 AÑOS 1 MESES ,
85986,1960-08-01,Tabasco,CARDENAS,Tecnico,Unión Libre,0,Propia,MASCULINO,30 AÑOS 1 MESES ,"$9,600.00",NO,MECANICA AUTOMOTRIZ/INDUSTRIAL,10 AÑOS 12 MESES ,
85989,1989-07-25,Tabasco,CARDENAS,Tecnico,Soltera (o),0,Propia,FEMENINO,20 AÑOS 1 MESES ,"$10,400.00",NO,JOYERIA/BISUTERIA/FUNDICION,5 AÑOS 1 MESES ,
84416,1968-09-04,Tabasco,CARDENAS,Licenciatura,Soltera (o),0,Propia,FEMENINO,20 AÑOS 1 MESES ,"$11,200.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,10 AÑOS 12 MESES ,
86810,1964-01-30,Veracruz de Ignacio de la Llave,COATZACOALCOS,Primaria,Casada (o),0,Propia,FEMENINO,20 AÑOS 0 MESES ,"$20,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 0 MESES ,
88019,1965-07-08,Veracruz de Ignacio de la Llave,ORIZABA,Sin Estudios,Casada (o),1,Propia,FEMENINO,0 AÑOS 0 MESES ,"$6,000.00",NO,ARTE/ARTESANIAS,6 AÑOS 0 MESES ,
86548,1972-06-24,Jalisco,TONALA,Sin Estudios,Casada (o),0,Familiar,FEMENINO,6 AÑOS 0 MESES ,"$9,000.00",NO,VENTA DE ALIMENTOS,2 AÑOS 3 MESES ,
87247,1970-11-18,México,CHALCO,Primaria,Casada (o),2,Propia,FEMENINO,20 AÑOS 6 MESES ,"$3,200.00",NO,VENTA DE ROPA,5 AÑOS 6 MESES ,
88132,1988-10-15,México,CHALCO,Licenciatura,Soltera (o),0,Familiar,MASCULINO,32 AÑOS 6 MESES ,"$6,860.00",NO,VENTA DE MUEBLES/ELECTRONICOS/ELECTRODOMESTICOS,10 AÑOS 1 MESES ,
87071,1993-01-16,Tabasco,VILLAHERMOSA,Bachillerato,Unión Libre,0,Propia,FEMENINO,0 AÑOS 0 MESES ,"$7,900.00",NO,VENTA POR CATALOGO,2 AÑOS 0 MESES ,
87082,1985-03-18,México,CHALCO,Secundaria,Soltera (o),1,Propia,FEMENINO,15 AÑOS 1 MESES ,"$2,247.00",NO,JARCIERIA,5 AÑOS 1 MESES ,
87946,1986-10-10,México,CHALCO,Primaria,Unión Libre,2,Propia,FEMENINO,3 AÑOS 1 MESES ,"$6,876.00",NO,VENTA DE ALIMENTOS,10 AÑOS 1 MESES ,
87950,1963-11-08,México,CHALCO,Primaria,Casada (o),0,Propia,FEMENINO,8 AÑOS 1 MESES ,"$3,756.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,8 AÑOS 1 MESES ,
87954,1985-11-28,México,CHALCO,Secundaria,Soltera (o),0,Familiar,FEMENINO,30 AÑOS 1 MESES ,"$5,412.00",NO,VENTA DE ALIMENTOS,3 AÑOS 1 MESES ,
87965,1992-11-28,México,CHALCO,Secundaria,Unión Libre,4,Familiar,FEMENINO,25 AÑOS 1 MESES ,"$3,878.00",NO,VENTA DE ALIMENTOS,10 AÑOS 12 MESES ,
87968,1965-10-15,México,CHALCO,Secundaria,Casada (o),0,Propia,FEMENINO,16 AÑOS 1 MESES ,"$3,720.00",NO,VENTA DE ALIMENTOS,4 AÑOS 1 MESES ,
87973,1968-12-25,México,CHALCO,Tecnico,Soltera (o),1,Propia,FEMENINO,21 AÑOS 1 MESES ,"$6,816.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,10 AÑOS 12 MESES ,
88289,1989-02-28,México,CHALCO,Secundaria,Casada (o),3,Propia,FEMENINO,30 AÑOS 1 MESES ,"$4,557.00",NO,VENTA DE ROPA,10 AÑOS 12 MESES ,
86057,1974-10-13,México,CHALCO,Primaria,Unión Libre,1,Familiar,FEMENINO,30 AÑOS 1 MESES ,"$3,240.00",NO,VENTA DE ALIMENTOS,10 AÑOS 12 MESES ,
86809,1980-09-27,México,CHALCO,Secundaria,Unión Libre,1,Familiar,FEMENINO,8 AÑOS 1 MESES ,"$3,859.00",NO,VENTA DE ALIMENTOS,3 AÑOS 9 MESES ,
86811,1977-08-28,México,CHALCO,Primaria,Casada (o),1,Familiar,FEMENINO,30 AÑOS 1 MESES ,"$4,320.00",NO,VENTA DE ALIMENTOS,5 AÑOS 3 MESES ,
87034,1981-09-11,México,CHALCO,Secundaria,Casada (o),1,Propia,FEMENINO,14 AÑOS 1 MESES ,"$4,512.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,10 AÑOS 12 MESES ,
87851,2000-03-14,México,CHALCO,Licenciatura,Soltera (o),0,Familiar,MASCULINO,21 AÑOS 1 MESES ,"$3,120.00",NO,VENTA DE CELULARES/TECNOLOGIA,6 AÑOS 9 MESES ,
86240,1978-07-05,México,CHALCO,Secundaria,Casada (o),2,Familiar,FEMENINO,35 AÑOS 9 MESES ,"$4,800.00",NO,VENTA POR CATALOGO,10 AÑOS 1 MESES ,
88115,1977-10-12,Tabasco,CARDENAS,Secundaria,Soltera (o),0,Propia,FEMENINO,30 AÑOS 1 MESES ,"$13,128.00",NO,MECANICA AUTOMOTRIZ/INDUSTRIAL,7 AÑOS 1 MESES ,
88120,1955-05-11,Tabasco,CARDENAS,Primaria,Unión Libre,0,Propia,FEMENINO,32 AÑOS 1 MESES ,"$18,368.00",NO,VENTA DE ALIMENTOS,5 AÑOS 0 MESES ,
88131,1975-11-17,Tabasco,CARDENAS,Bachillerato,Unión Libre,2,Propia,FEMENINO,40 AÑOS 1 MESES ,"$29,200.00",NO,PANADERIA,2 AÑOS 6 MESES ,
88133,1967-01-01,Tabasco,CARDENAS,Primaria,Casada (o),1,Propia,FEMENINO,35 AÑOS 1 MESES ,"$13,852.00",NO,VENTA DE ALIMENTOS,10 AÑOS 1 MESES ,
88139,1991-03-06,Tabasco,CARDENAS,Secundaria,Unión Libre,2,Propia,FEMENINO,7 AÑOS 1 MESES ,"$7,600.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,4 AÑOS 1 MESES ,
88141,1984-05-25,Tabasco,CARDENAS,Secundaria,Casada (o),2,Propia,FEMENINO,6 AÑOS 1 MESES ,"$9,132.00",NO,JOYERIA/BISUTERIA/FUNDICION,1 AÑOS 1 MESES ,
88143,1970-01-11,Tabasco,CARDENAS,Bachillerato,Casada (o),3,Propia,FEMENINO,2 AÑOS 1 MESES ,"$8,228.00",NO,VENTA DE ROPA,7 AÑOS 1 MESES ,
88146,1972-11-30,Tabasco,CARDENAS,Secundaria,Casada (o),2,Propia,FEMENINO,24 AÑOS 1 MESES ,"$15,028.00",NO,HERRERIA,10 AÑOS 1 MESES ,
87503,1977-06-18,Veracruz de Ignacio de la Llave,COATZACOALCOS,Secundaria,Casada (o),1,Propia,FEMENINO,14 AÑOS 0 MESES ,"$19,200.00",SI,DISTRIBUIDOR CON EXPERIENCIA,3 AÑOS 0 MESES ,
86484,1959-03-20,México,CHALCO,Primaria,Casada (o),0,Rentada,FEMENINO,9 AÑOS 1 MESES ,"$2,880.00",NO,VENTA DE ALIMENTOS,9 AÑOS 1 MESES ,
86485,2000-01-29,México,CHALCO,Secundaria,Unión Libre,0,Rentada,FEMENINO,6 AÑOS 1 MESES ,"$2,160.00",NO,CALZADO REPARACION Y VENTA,2 AÑOS 1 MESES ,
86486,1992-04-23,México,CHALCO,Secundaria,Casada (o),2,Familiar,FEMENINO,29 AÑOS 1 MESES ,"$3,600.00",NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 12 MESES ,
86487,1983-10-20,México,CHALCO,Secundaria,Unión Libre,1,Familiar,FEMENINO,2 AÑOS 1 MESES ,"$3,120.00",NO,VENTA DE ALIMENTOS,5 AÑOS 1 MESES ,
88123,1991-09-27,México,CHALCO,Secundaria,Unión Libre,2,Familiar,FEMENINO,10 AÑOS 1 MESES ,"$2,400.00",NO,VENTA DE ALIMENTOS,3 AÑOS 1 MESES ,
85383,1966-07-22,Veracruz de Ignacio de la Llave,COATZACOALCOS,Secundaria,Casada (o),0,Propia,FEMENINO,18 AÑOS 0 MESES ,"$18,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,3 AÑOS 0 MESES ,
87504,1964-06-02,Veracruz de Ignacio de la Llave,COATZACOALCOS,Primaria,Soltera (o),0,Propia,FEMENINO,1 AÑOS 0 MESES ,"$16,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,1 AÑOS 0 MESES ,
87920,1974-10-01,Veracruz de Ignacio de la Llave,COATZACOALCOS,Secundaria,Casada (o),0,Propia,FEMENINO,18 AÑOS 0 MESES ,"$11,000.00",NO,VENTA DE ALIMENTOS,10 AÑOS 0 MESES ,
88142,1988-09-20,Veracruz de Ignacio de la Llave,COATZACOALCOS,Bachillerato,Casada (o),1,Propia,FEMENINO,15 AÑOS 0 MESES ,"$18,000.00",NO,VENTA DE ROPA,2 AÑOS 0 MESES ,
88197,1987-03-20,Veracruz de Ignacio de la Llave,COATZACOALCOS,Bachillerato,Casada (o),2,Propia,FEMENINO,17 AÑOS 0 MESES ,"$12,000.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,10 AÑOS 0 MESES ,
88725,1984-01-19,México,CHIMALHUACAN 2,Secundaria,Unión Libre,2,Propia,FEMENINO,15 AÑOS 0 MESES ,"$12,000.00",NO,AMEDICINA/SALUD/FARMACIA,2 AÑOS 0 MESES ,
88726,1959-10-02,México,CHIMALHUACAN 2,Primaria,Viuda (o),0,,FEMENINO,0 AÑOS 0 MESES ,"$7,672.00",NO,VENTA DE ROPA,10 AÑOS 12 MESES ,
88727,1985-08-02,México,CHIMALHUACAN 2,Bachillerato,Soltera (o),0,Familiar,FEMENINO,34 AÑOS 0 MESES ,"$5,064.00",NO,VENTA POR CATALOGO,2 AÑOS 6 MESES ,
88729,1956-12-30,México,CHIMALHUACAN 2,Primaria,Divorciada (o),0,Familiar,FEMENINO,50 AÑOS 12 MESES ,"$4,400.00",NO,VENTA POR CATALOGO,10 AÑOS 12 MESES ,
88767,1968-01-20,México,CHIMALHUACAN 2,Primaria,Casada (o),0,Propia,FEMENINO,18 AÑOS 0 MESES ,"$8,000.00",NO,ARTE/ARTESANIAS,5 AÑOS 0 MESES ,
87030,1995-01-23,Tabasco,VILLAHERMOSA,Secundaria,Casada (o),0,Propia,FEMENINO,10 AÑOS 0 MESES ,"$12,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,2 AÑOS 0 MESES ,
88042,1984-02-02,México,CHALCO,Secundaria,Unión Libre,1,Familiar,FEMENINO,35 AÑOS 1 MESES ,"$3,120.00",NO,FLORES/ARREGLOS,10 AÑOS 1 MESES ,
88044,2001-05-18,México,CHALCO,Bachillerato,Casada (o),0,Familiar,MASCULINO,20 AÑOS 1 MESES ,"$2,400.00",NO,VENTA DE ALIMENTOS,3 AÑOS 1 MESES ,
88049,1978-01-04,México,CHALCO,Secundaria,Divorciada (o),1,Familiar,FEMENINO,38 AÑOS 1 MESES ,"$2,160.00",NO,FRUTAS/VERDURAS/SEMILLAS/CAMPO/AGROPECUARIAS,3 AÑOS 1 MESES ,
88455,1996-07-17,México,CHALCO,Secundaria,Unión Libre,1,Rentada,FEMENINO,2 AÑOS 1 MESES ,"$1,920.00",NO,CALZADO REPARACION Y VENTA,5 AÑOS 1 MESES ,
88457,1981-06-07,México,CHALCO,Secundaria,Unión Libre,2,Familiar,FEMENINO,10 AÑOS 1 MESES ,"$4,320.00",NO,VENTA DE ROPA,3 AÑOS 1 MESES ,
88033,1991-10-05,México,CHALCO,Secundaria,Casada (o),2,Familiar,FEMENINO,19 AÑOS 1 MESES ,"$3,592.00",NO,VENTA DE ROPA,6 AÑOS 1 MESES ,
88035,1993-06-18,México,CHALCO,Bachillerato,Soltera (o),2,Familiar,FEMENINO,20 AÑOS 1 MESES ,"$5,880.00",NO,VENTA DE ROPA,4 AÑOS 1 MESES ,
88036,1994-06-24,México,CHALCO,Tecnico,Unión Libre,0,Familiar,FEMENINO,8 AÑOS 1 MESES ,"$6,240.00",NO,VENTA DE ROPA,4 AÑOS 1 MESES ,
88038,1973-03-28,México,CHALCO,Secundaria,Casada (o),0,Familiar,FEMENINO,9 AÑOS 1 MESES ,"$6,240.00",NO,VENTA DE ALIMENTOS,5 AÑOS 1 MESES ,
88039,1979-07-07,México,CHALCO,Secundaria,Unión Libre,3,Rentada,FEMENINO,5 AÑOS 1 MESES ,"$4,320.00",NO,MECANICA AUTOMOTRIZ/INDUSTRIAL,10 AÑOS 1 MESES ,
88034,1982-12-07,México,CHALCO,Secundaria,Unión Libre,2,Familiar,FEMENINO,10 AÑOS 1 MESES ,"$4,296.00",NO,CALZADO REPARACION Y VENTA,10 AÑOS 1 MESES ,
87647,1994-09-20,Tabasco,VILLAHERMOSA,Bachillerato,Unión Libre,2,Propia,FEMENINO,6 AÑOS 0 MESES ,"$9,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 7 MESES ,
86888,1973-05-03,Tabasco,VILLAHERMOSA,Primaria,Casada (o),0,Propia,FEMENINO,25 AÑOS 0 MESES ,"$11,476.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,7 AÑOS 0 MESES ,
87865,1986-12-25,Tabasco,VILLAHERMOSA,Secundaria,Unión Libre,3,Propia,FEMENINO,10 AÑOS 0 MESES ,"$10,200.00",NO,VENTA DE ALIMENTOS,3 AÑOS 0 MESES ,
87869,1980-09-27,Tabasco,VILLAHERMOSA,Secundaria,Soltera (o),1,Propia,FEMENINO,10 AÑOS 0 MESES ,"$9,060.00",NO,VENTA DE ALIMENTOS,4 AÑOS 0 MESES ,
87872,1977-11-28,Tabasco,VILLAHERMOSA,Secundaria,Unión Libre,0,Propia,FEMENINO,15 AÑOS 0 MESES ,"$13,720.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,9 AÑOS 0 MESES ,
87879,1985-12-17,Tabasco,VILLAHERMOSA,Secundaria,Unión Libre,0,Propia,FEMENINO,3 AÑOS 0 MESES ,"$8,172.00",NO,VENTA DE ALIMENTOS,2 AÑOS 0 MESES ,
87867,1982-11-01,Tabasco,VILLAHERMOSA,Bachillerato,Casada (o),2,Propia,FEMENINO,30 AÑOS 1 MESES ,"$8,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,6 AÑOS 1 MESES ,
87873,1964-03-05,Tabasco,VILLAHERMOSA,Secundaria,Soltera (o),0,Propia,FEMENINO,20 AÑOS 1 MESES ,"$15,000.00",NO,PANADERIA,2 AÑOS 1 MESES ,
87919,1987-11-21,Tabasco,VILLAHERMOSA,Bachillerato,Soltera (o),0,Familiar,FEMENINO,25 AÑOS 1 MESES ,"$20,000.00",NO,VENTA DE CELULARES/TECNOLOGIA,3 AÑOS 1 MESES ,
87924,1965-01-02,Tabasco,VILLAHERMOSA,Secundaria,Casada (o),0,Propia,FEMENINO,30 AÑOS 1 MESES ,"$9,000.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,2 AÑOS 1 MESES ,
88032,1963-09-15,Tabasco,VILLAHERMOSA,Secundaria,Viuda (o),0,Propia,FEMENINO,30 AÑOS 1 MESES ,"$3,500.00",NO,FRUTAS/VERDURAS/SEMILLAS/CAMPO/AGROPECUARIAS,3 AÑOS 1 MESES ,
88298,1985-04-18,México,CHALCO,Tecnico,Unión Libre,2,Familiar,FEMENINO,16 AÑOS 3 MESES ,"$4,034.00",NO,VENTA DE ALIMENTOS,8 AÑOS 5 MESES ,
88301,1959-09-14,México,CHALCO,Primaria,Casada (o),0,Propia,FEMENINO,40 AÑOS 5 MESES ,"$4,034.00",NO,VENTA DE MUEBLES/ELECTRONICOS/ELECTRODOMESTICOS,10 AÑOS 5 MESES ,
88303,1984-03-16,México,CHALCO,Primaria,Casada (o),1,Familiar,FEMENINO,20 AÑOS 5 MESES ,"$3,086.00",NO,VENTA DE ALIMENTOS,8 AÑOS 3 MESES ,
88304,2000-04-01,México,CHALCO,Secundaria,Unión Libre,3,Familiar,FEMENINO,21 AÑOS 1 MESES ,"$4,560.00",NO,VENTA DE ALIMENTOS,4 AÑOS 5 MESES ,
88305,1968-04-23,México,CHALCO,Primaria,Casada (o),0,Familiar,FEMENINO,20 AÑOS 9 MESES ,"$5,520.00",NO,VENTA DE ALIMENTOS,5 AÑOS 3 MESES ,
88896,1993-11-21,Jalisco,TONALA,Bachillerato,Casada (o),0,Propia,FEMENINO,3 AÑOS 0 MESES ,"$7,000.00",NO,VENTA DE ROPA,6 AÑOS 0 MESES ,
88300,1988-10-02,México,CHALCO,Secundaria,Unión Libre,1,Familiar,FEMENINO,3 AÑOS 9 MESES ,"$4,713.00",NO,VENTA DE ROPA,4 AÑOS 5 MESES ,
88319,1987-11-05,México,CHALCO,Secundaria,Casada (o),2,Familiar,MASCULINO,19 AÑOS 1 MESES ,"$1,072.00",NO,VENTA DE ALIMENTOS,4 AÑOS 1 MESES ,
88322,1994-01-08,México,CHALCO,Bachillerato,Casada (o),1,Familiar,FEMENINO,14 AÑOS 1 MESES ,"$1,102.00",NO,VENTA DE ROPA,5 AÑOS 1 MESES ,
88324,1966-04-25,México,CHALCO,Bachillerato,Casada (o),0,Familiar,MASCULINO,18 AÑOS 1 MESES ,"$1,080.00",NO,MADERA/CARPINTERIA/EBANISTA,10 AÑOS 12 MESES ,
88326,1989-09-12,México,CHALCO,Bachillerato,Casada (o),2,Familiar,FEMENINO,18 AÑOS 1 MESES ,"$1,042.00",NO,FABRICA/TALLER/ELABORACION/REPARACION,6 AÑOS 1 MESES ,
88327,1982-09-19,México,CHALCO,Bachillerato,Casada (o),1,Familiar,FEMENINO,14 AÑOS 1 MESES ,"$1,097.00",NO,CALZADO REPARACION Y VENTA,5 AÑOS 1 MESES ,
87079,1980-12-05,México,CHALCO,Secundaria,Casada (o),1,Familiar,FEMENINO,12 AÑOS 1 MESES ,"$5,488.00",NO,VENTA DE ALIMENTOS,6 AÑOS 1 MESES ,
87080,1974-05-30,México,CHALCO,Secundaria,Casada (o),2,Familiar,FEMENINO,15 AÑOS 1 MESES ,"$6,657.00",NO,VENTA DE ALIMENTOS,3 AÑOS 1 MESES ,
87084,1986-02-19,México,CHALCO,Secundaria,Casada (o),2,Familiar,FEMENINO,13 AÑOS 1 MESES ,"$4,440.00",NO,ARTE/ARTESANIAS,4 AÑOS 1 MESES ,
87085,1984-09-28,México,CHALCO,Secundaria,Casada (o),2,Familiar,FEMENINO,18 AÑOS 1 MESES ,"$5,712.00",NO,VENTA DE ALIMENTOS,3 AÑOS 1 MESES ,
87257,1975-12-14,México,CHALCO,Secundaria,Unión Libre,1,Familiar,MASCULINO,10 AÑOS 1 MESES ,"$4,872.00",NO,VENTA DE ALIMENTOS,9 AÑOS 1 MESES ,
87854,1980-10-01,México,CHALCO,Secundaria,Unión Libre,0,Familiar,FEMENINO,40 AÑOS 1 MESES ,"$1,650.00",NO,PAPELERIA,4 AÑOS 1 MESES ,
88869,1969-01-07,México,CHALCO,Secundaria,Casada (o),0,Familiar,FEMENINO,32 AÑOS 1 MESES ,"$2,520.00",NO,VENTA DE ALIMENTOS,7 AÑOS 1 MESES ,
88870,1996-05-17,México,CHALCO,Secundaria,Soltera (o),2,Familiar,FEMENINO,25 AÑOS 1 MESES ,"$3,552.00",NO,VENTA DE ALIMENTOS,5 AÑOS 1 MESES ,
88871,1967-12-06,México,CHALCO,Secundaria,Unión Libre,0,Propia,FEMENINO,14 AÑOS 1 MESES ,"$2,880.00",NO,VENTA DE ALIMENTOS,5 AÑOS 1 MESES ,
88887,1971-07-03,México,CHALCO,Secundaria,Casada (o),1,Familiar,FEMENINO,30 AÑOS 1 MESES ,"$2,640.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,10 AÑOS 12 MESES ,
88888,1961-10-12,México,CHALCO,Secundaria,Casada (o),0,Familiar,FEMENINO,12 AÑOS 1 MESES ,"$3,000.00",NO,FABRICA/TALLER/ELABORACION/REPARACION,5 AÑOS 1 MESES ,
88904,1966-09-24,México,CHALCO,Bachillerato,Casada (o),0,Familiar,FEMENINO,15 AÑOS 1 MESES ,"$3,360.00",NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 1 MESES ,
88159,1977-11-03,Jalisco,TONALA,Primaria,Casada (o),3,Familiar,FEMENINO,13 AÑOS 0 MESES ,"$21,300.00",NO,VENTA POR CATALOGO,4 AÑOS 0 MESES ,
88161,1988-03-12,Jalisco,TONALA,Bachillerato,Casada (o),3,Familiar,FEMENINO,20 AÑOS 1 MESES ,"$31,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,6 AÑOS 0 MESES ,
88566,1978-12-18,Jalisco,TONALA,Bachillerato,Casada (o),1,Familiar,FEMENINO,21 AÑOS 4 MESES ,"$35,000.00",NO,VENTA DE ROPA,6 AÑOS 0 MESES ,
88567,1966-08-21,Jalisco,TONALA,Bachillerato,Casada (o),0,Propia,FEMENINO,25 AÑOS 2 MESES ,"$22,000.00",NO,VENTA POR CATALOGO,10 AÑOS 0 MESES ,
88568,1990-09-11,Jalisco,TONALA,Bachillerato,Unión Libre,2,Rentada,FEMENINO,3 AÑOS 2 MESES ,"$25,000.00",NO,VENTA DE ALIMENTOS,3 AÑOS 1 MESES ,
88683,1978-03-02,Jalisco,TONALA,Secundaria,Casada (o),3,Rentada,FEMENINO,1 AÑOS 6 MESES ,"$32,000.00",NO,CALZADO REPARACION Y VENTA,10 AÑOS 2 MESES ,
88820,1985-12-17,México,CHIMALHUACAN 2,Secundaria,Casada (o),0,Propia,FEMENINO,10 AÑOS 0 MESES ,"$8,560.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,10 AÑOS 12 MESES ,
88822,1976-08-27,México,CHIMALHUACAN 2,Secundaria,Casada (o),0,Propia,FEMENINO,21 AÑOS 0 MESES ,$15.00,NO,VENTA POR CATALOGO,7 AÑOS 0 MESES ,
88844,1966-06-03,México,CHIMALHUACAN 2,Primaria,Casada (o),0,Propia,FEMENINO,43 AÑOS 0 MESES ,"$6,580.00",NO,VENTA POR CATALOGO,4 AÑOS 0 MESES ,
88845,1966-04-06,México,CHIMALHUACAN 2,Secundaria,Casada (o),0,Propia,MASCULINO,40 AÑOS 0 MESES ,$20.00,NO,CARNICERIA/POLLERIA/RASTRO,10 AÑOS 12 MESES ,
88848,1986-07-09,México,CHIMALHUACAN 2,Secundaria,Casada (o),0,Familiar,FEMENINO,30 AÑOS 0 MESES ,"$14,000.00",NO,VENTA DE ALIMENTOS,7 AÑOS 0 MESES ,
88925,1996-07-02,México,CHIMALHUACAN 2,Tecnico,Soltera (o),0,Familiar,FEMENINO,25 AÑOS 0 MESES ,"$4,000.00",NO,AMEDICINA/SALUD/FARMACIA,3 AÑOS 0 MESES ,
82732,1956-04-04,Veracruz de Ignacio de la Llave,ORIZABA,Sin Estudios,Viuda (o),0,Familiar,FEMENINO,0 AÑOS 0 MESES ,"$5,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,2 AÑOS 0 MESES ,
88201,1960-11-08,Veracruz de Ignacio de la Llave,ORIZABA,Sin Estudios,Soltera (o),0,Propia,FEMENINO,0 AÑOS 0 MESES ,"$10,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,3 AÑOS 0 MESES ,
85209,1989-10-29,Veracruz de Ignacio de la Llave,ORIZABA,Sin Estudios,Casada (o),0,Propia,FEMENINO,11 AÑOS 0 MESES ,"$8,000.00",NO,VENTA DE ROPA,2 AÑOS 0 MESES ,
88527,1988-05-02,Veracruz de Ignacio de la Llave,ORIZABA,Tecnico,Unión Libre,0,Propia,FEMENINO,0 AÑOS 0 MESES ,"$24,000.00",NO,VENTA DE ROPA,1 AÑOS 0 MESES ,
88528,1957-05-15,Veracruz de Ignacio de la Llave,ORIZABA,Primaria,Viuda (o),0,Propia,FEMENINO,50 AÑOS 0 MESES ,"$2,400.00",NO,FRUTAS/VERDURAS/SEMILLAS/CAMPO/AGROPECUARIAS,10 AÑOS 0 MESES ,
88540,1959-04-11,Veracruz de Ignacio de la Llave,ORIZABA,Sin Estudios,Casada (o),0,Familiar,FEMENINO,4 AÑOS 0 MESES ,"$5,600.00",NO,VENTA DE ALIMENTOS,4 AÑOS 0 MESES ,
88597,1965-01-07,Veracruz de Ignacio de la Llave,ORIZABA,Secundaria,Casada (o),0,Propia,FEMENINO,0 AÑOS 0 MESES ,"$3,600.00",NO,VENTA POR CATALOGO,2 AÑOS 0 MESES ,
88599,1961-02-15,Veracruz de Ignacio de la Llave,ORIZABA,Sin Estudios,Casada (o),0,Propia,FEMENINO,40 AÑOS 0 MESES ,"$4,000.00",NO,CARNICERIA/POLLERIA/RASTRO,6 AÑOS 0 MESES ,
88650,1971-10-09,Veracruz de Ignacio de la Llave,ORIZABA,Secundaria,Casada (o),1,Familiar,FEMENINO,0 AÑOS 0 MESES ,"$14,000.00",NO,VENTA DE ALIMENTOS,7 AÑOS 0 MESES ,
87543,1961-08-03,México,NEZAHUALCOYOTL 2,Sin Estudios,Unión Libre,0,Familiar,FEMENINO,0 AÑOS 0 MESES ,"$12,000.00",NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 1 MESES ,
